Suburb/Town,Postcode,Clinic,Clinic Phone Number,Referral Contact,HHS
Ambrose,4695,Gladstone CYMHS,4976 3244,Fax referral:  49763377,Central Queensland
Amby,4462,Roma CYMHS, 46242 719,Referral_Roma@health.qld.gov.au,South West
Amiens,4380,Warwick CYMHS,4660 3901,sd_cymhs@health.qld.gov.au,Darling Downs
Amity Point,4183,Bayside CYMHS,3825 6005,BaysideCYMHS_intake@health.qld.gov.au,Metro South
Anakie,4702,Emerald CYMHS,49839 750,Fax referral:  49839744,Central Queensland
Andergrove,4740,Mackay CYMHS,4968 3893,mackay-cymhs@health.qld.gov.au,Mackay & Whitsundays
Anderleigh,4570,Gympie CYMHS,5489 8777,Fax referral:  54898779,Sunshine Coast
Andrews,4220,Gold Coast Southern (Robina) CYMHS,56356392,Gold Coast Access Team Fax: 56356450,Gold Coast
Andromache,4800,Greater Whitsundays CYMHS (Proserpine),4813 9540,GWMHandATODS@health.qld.gov.au,Mackay & Whitsundays
Anglers Paradise,4216,Gold Coast Central (Southport) CYMHS,56356392,Gold Coast Access Team Fax: 56356450,Gold Coast
Annandale,4814,Townsville CYMHS, 4433 9004,TSV-Kirwan-CYMHS-Intake-Officer@health.qld.gov.au,Townsville
Annerley,4103,Yeronga CYMHS,3848 8011,CHQ-CYMHS-Yeronga@health.qld.gov.au,Children's Health
Anstead,4070,North West CYMHS,3335 8888,CHQ-CYMHS-NorthWest@health.qld.gov.au,Children's Health
Anthony,4310,Goodna CYMHS,3817 2555,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Antigua,4650,Maryborough (Wide Bay South) CYMHS,4122 8777,WBMHSSHerveyBay@health.qld.gov.au,Wide Bay
Apple Tree Creek,4660,Bundaberg (Wide Bay North) CYMHS,4150 2600,WBMHSS-Bundaberg@health.qld.gov.au,Wide Bay
Applethorpe,4378,Warwick CYMHS,4660 3901,sd_cymhs@health.qld.gov.au,Darling Downs
Aramara,4620,Maryborough (Wide Bay South) CYMHS,4122 8777,WBMHSSHerveyBay@health.qld.gov.au,Wide Bay
Arana Hills,4054,North West CYMHS,3335 8888,CHQ-CYMHS-NorthWest@health.qld.gov.au,Children's Health
Aratula,4309,Ipswich CYMHS,3817 2360,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Archerfield,4108,Yeronga CYMHS,3848 8011,CHQ-CYMHS-Yeronga@health.qld.gov.au,Children's Health
Armstrong Beach,4737,Mackay CYMHS,4968 3893,mackay-cymhs@health.qld.gov.au,Mackay & Whitsundays
Armstrong Creek,4520,Pine Rivers CYMHS,3817 6380,CHQ-CYMHS-PineRivers@health.qld.gov.au,Children's Health
Arundel,4214,Gold Coast Central (Southport) CYMHS,56356392,Gold Coast Access Team Fax: 56356450,Gold Coast
Ascot,4007,Nundah CYMHS,3146 2300,CHQ-CYMHS-Nundah@health.qld.gov.au,Children's Health
Ascot,4359,Ipswich CYMHS,3817 2360,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Ashfield,4670,Bundaberg (Wide Bay North) CYMHS,4150 2600,WBMHSS-Bundaberg@health.qld.gov.au,Wide Bay
Ashgrove,4060,North West CYMHS,3335 8888,CHQ-CYMHS-NorthWest@health.qld.gov.au,Children's Health
Ashmore,4214,Gold Coast Central (Southport) CYMHS,56356392,Gold Coast Access Team Fax: 56356450,Gold Coast
Ashwell,4340,Ipswich CYMHS,3817 2360,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Aspley,4034,North West CYMHS,3335 8888,CHQ-CYMHS-NorthWest@health.qld.gov.au,Children's Health
Atherton,4883,Atherton (Tablelands CYMHS) ,4091 0213,Fax Referral:  40910209,Cairns & Hinterland
Atkinsons Dam,4311,Ipswich CYMHS,3817 2360,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Auchenflower,4066,North West CYMHS,3335 8888,CHQ-CYMHS-NorthWest@health.qld.gov.au,Children's Health
Augathella,4477,Charleville CYMHS,4621 2200,SWHHS-Mental_Health_Services_Charleville@health.qld.gov.au,South West
Augustine Heights,4300,Goodna CYMHS,3817 2555,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Aurukun ,4892,Cape CYMHS,4060 6700,TCHHS-MHATODS-CAPE@health.qld.gov.au,Torres & Cape
Austinville,4213,Gold Coast Southern (Robina) CYMHS,56356392,Gold Coast Access Team Fax: 56356450,Gold Coast
Avenell Heights,4670,Bundaberg (Wide Bay North) CYMHS,4150 2600,WBMHSS-Bundaberg@health.qld.gov.au,Wide Bay
Avoca,4670,Bundaberg (Wide Bay North) CYMHS,4150 2600,WBMHSS-Bundaberg@health.qld.gov.au,Wide Bay
Avoca Vale,4306,Ipswich CYMHS,3817 2360,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Ayr,4807,Burdekin CYMHS (Ayr),4783 0890,bcmh@health.qld.gov.au,Townsville
Babinda,4861,Cairns CYMHS,4226 2700,cairnscymhsintake@health.qld.gov.au,Cairns & Hinterland
Badu / Badu Island,4875,Thursday Island CYMHS, 4069 0695,TCHHS-MHATODS-TI@health.qld.gov.au,Torres & Cape
Baffle Creek,4674,Gladstone CYMHS,4976 3244,Fax referral:  49763377,Central Queensland
Bahrs Scrub,4207,Beenleigh/Beaudesert CYMHS,3089 4100,LCYMHS_Admin@health.qld.gov.au,Metro South
Bajool,4699,Rockhampton CYMHS, 4920 5700,CQMHSCYMHSRockhampton@health.qld.gov.au ,Central Queensland
Bakers Creek,4740,Mackay CYMHS,4968 3893,mackay-cymhs@health.qld.gov.au,Mackay & Whitsundays
Bald Hills,4036,Pine Rivers CYMHS,3817 6380,CHQ-CYMHS-PineRivers@health.qld.gov.au,Children's Health
Balgal Beach,4816,Townsville CYMHS, 4433 9004,TSV-Kirwan-CYMHS-Intake-Officer@health.qld.gov.au,Townsville
Balgal beach,4816,Townsville CYMHS, 4433 9004,TSV-Kirwan-CYMHS-Intake-Officer@health.qld.gov.au,Townsville
Ball Bay,4741,Mackay CYMHS,4968 3893,mackay-cymhs@health.qld.gov.au,Mackay & Whitsundays
Ballandean,4382,Warwick CYMHS,4660 3901,sd_cymhs@health.qld.gov.au,Darling Downs
Balmoral,4171,Yeronga CYMHS,3848 8011,CHQ-CYMHS-Yeronga@health.qld.gov.au,Children's Health
Bamaga,4876,NPA (Northern Peninsula Area) CYMHS,4090 4270,TCHHS-MHATODS-NPA@health.qld.gov.au,Torres & Cape
Bambaroo,4850,Ingham CYMHS,4720 3035,TSV-MH-ICMH@health.qld.gov.au,Townsville
Ban Ban Springs,4625,Gayndah (Wide Bay Rural) CYMHS,4192 1149,WBMHSS-RURAL@health.qld.gov.au,Wide Bay
Banana,4702,Banana CYMHS (Biloela),49927045,cqmhsintakebanana@health.qld.gov.au,Central Queensland
Bancroft,4630,Gayndah (Wide Bay Rural) CYMHS,4192 1149,WBMHSS-RURAL@health.qld.gov.au,Wide Bay
Bangalee,4703,Rockhampton CYMHS, 4920 5700,CQMHSCYMHSRockhampton@health.qld.gov.au ,Central Queensland
Banks Creek,4306,Ipswich CYMHS,3817 2360,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Banksia Beach,4507,Caboolture/Redcliffe CYMHS,5316 3100,RCCYMHS_GROUPS@health.qld.gov.au ,Metro North
Bannockburn,4207,Beenleigh/Beaudesert CYMHS,3089 4100,LCYMHS_Admin@health.qld.gov.au,Metro South
Banoon,4109,Mt Gravatt CYMHS,3087 2260,CHQ-CYMHS-MtGravatt@health.qld.gov.au,Children's Health
Banyo,4014,Nundah CYMHS,3146 2300,CHQ-CYMHS-Nundah@health.qld.gov.au,Children's Health
Baralaba,4702,Banana CYMHS (Biloela),49927045,cqmhsintakebanana@health.qld.gov.au,Central Queensland
Bardon,4065,North West CYMHS,3335 8888,CHQ-CYMHS-NorthWest@health.qld.gov.au,Children's Health
Baree,4714,Rockhampton CYMHS, 4920 5700,CQMHSCYMHSRockhampton@health.qld.gov.au ,Central Queensland
Barellan Point,4306,Ipswich CYMHS,3817 2360,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Bargara,4670,Bundaberg (Wide Bay North) CYMHS,4150 2600,WBMHSS-Bundaberg@health.qld.gov.au,Wide Bay
Barlows Hill,4703,Rockhampton CYMHS, 4920 5700,CQMHSCYMHSRockhampton@health.qld.gov.au ,Central Queensland
Barmaryee,4703,Rockhampton CYMHS, 4920 5700,CQMHSCYMHSRockhampton@health.qld.gov.au ,Central Queensland
Barmoya,4703,Rockhampton CYMHS, 4920 5700,CQMHSCYMHSRockhampton@health.qld.gov.au ,Central Queensland
Barney Point,4680,Gladstone CYMHS,4976 3244,Fax referral:  49763377,Central Queensland
Barney View,4287,Beenleigh/Beaudesert CYMHS,3089 4100,LCYMHS_Admin@health.qld.gov.au,Metro South
Baroondah,4420,Banana CYMHS (Biloela),49927045,cqmhsintakebanana@health.qld.gov.au,Central Queensland
Barramornie,4416,Chinchilla CYMHS,4662 8873,Dalby (Incl Chinchilla) Fax referral:  46690794,Darling Downs
Barratta,4809,Burdekin CYMHS (Ayr),4783 0890,bcmh@health.qld.gov.au,Townsville
Barrine,4872,Atherton (Tablelands CYMHS) ,4091 0213,Fax Referral:  40910209,Cairns & Hinterland
Barringha,4816,Townsville CYMHS, 4433 9004,TSV-Kirwan-CYMHS-Intake-Officer@health.qld.gov.au,Townsville
Barron Gorge,4870,Cairns CYMHS,4226 2700,cairnscymhsintake@health.qld.gov.au,Cairns & Hinterland
Basalt,4820,Charters Towers,4787 0342,TSV-Kirwan-CYMHS-Intake-Officer@health.qld.gov.au,Townsville
Basilisk,4871,Innisfail CYMHS,40161327,CAMHS@health.qld.gov.au,Cairns & Hinterland
Basin Pocket,4306,Ipswich CYMHS,3817 2360,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Bauhinia,4718,Emerald CYMHS,49839 750,Fax referral:  49839744,Central Queensland
Beachholm,4818,Townsville CYMHS, 4433 9004,TSV-Kirwan-CYMHS-Intake-Officer@health.qld.gov.au,Townsville
Beachmere,4510,Caboolture/Redcliffe CYMHS,5316 3100,RCCYMHS_GROUPS@health.qld.gov.au ,Metro North
Beaconsfield,4740,Mackay CYMHS,4968 3893,mackay-cymhs@health.qld.gov.au,Mackay & Whitsundays
Beatrice,4886,Atherton (Tablelands CYMHS) ,4091 0213,Fax Referral:  40910209,Cairns & Hinterland
Beaudesert,4285,Browns Plains/Beaudesert CYMHS,3089 4100,LCYMHS_Admin@health.qld.gov.au,Metro South
Beaver Rock,4650,Maryborough (Wide Bay South) CYMHS,4122 8777,WBMHSSHerveyBay@health.qld.gov.au,Wide Bay
Bedourie,4829,Mount Isa CYMHS,4744 7103,mimhs@health.qld.gov.au,North West
Beecher,4680,Gladstone CYMHS,4976 3244,Fax referral:  49763377,Central Queensland
Beechmont,4211,Beenleigh/Beaudesert CYMHS,3089 4100,LCYMHS_Admin@health.qld.gov.au,Metro South
Beelbi Creek,4659,Hervey Bay (Wide Bay South) CYMHS,4128 5400,WBMHSSHerveyBay@health.qld.gov.au,Wide Bay
Beenleigh,4207,Beenleigh/Beaudesert CYMHS,3089 4100,LCYMHS_Admin@health.qld.gov.au,Metro South
Beerwah,4519,Sunshine Coast,5202 9500,SC-MHAS-DaltonDriveHub-Admin@health.qld.gov.au,Sunshine Coast
Begonia,4487,Roma CYMHS, 46242 719,Referral_Roma@health.qld.gov.au,South West
Belgian Gardens,4810,Townsville CYMHS, 4433 9004,TSV-Kirwan-CYMHS-Intake-Officer@health.qld.gov.au,Townsville
Belivah,4207,Beenleigh/Beaudesert CYMHS,3089 4100,LCYMHS_Admin@health.qld.gov.au,Metro South
Bell (town),4408,Dalby CYMHS,4669 0501,wdmh@health.qld.gov.au,Darling Downs
Bellara,4507,Caboolture/Redcliffe CYMHS,5316 3100,RCCYMHS_GROUPS@health.qld.gov.au ,Metro North
Bellbird Park,4300,Goodna CYMHS,3817 2555,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Bellbowrie,4070,North West CYMHS,3335 8888,CHQ-CYMHS-NorthWest@health.qld.gov.au,Children's Health
Bellenden Ker,4871,Cairns CYMHS,4226 2700,cairnscymhsintake@health.qld.gov.au,Cairns & Hinterland
Bellevue Park,4215,Gold Coast Central (Southport) CYMHS,56356392,Gold Coast Access Team Fax: 56356450,Gold Coast
Bellmere,4510,Caboolture/Redcliffe CYMHS,5316 3100,RCCYMHS_GROUPS@health.qld.gov.au ,Metro North
Bells Bridge,4570,Gympie CYMHS,5489 8777,Fax referral:  54898779,Sunshine Coast
Bellthorpe,4515,Caboolture/Redcliffe CYMHS,5316 3100,RCCYMHS_GROUPS@health.qld.gov.au ,Metro North
Belmont,4153,Bayside CYMHS,3825 6005,BaysideCYMHS_intake@health.qld.gov.au,Metro South
Belmont Heights,4153,Bayside CYMHS,3825 6005,BaysideCYMHS_intake@health.qld.gov.au,Metro South
Belvedere,4860,Innisfail CYMHS,40161327,CAMHS@health.qld.gov.au,Cairns & Hinterland
Belyando,4820,Moranbah CYMHS, 4941 4680,moranbah_mentalhealth@health.qld.gov.au,Mackay & Whitsundays
Bemerside,4850,Ingham CYMHS,4720 3035,TSV-MH-ICMH@health.qld.gov.au,Townsville
Benaraby,4680,Gladstone CYMHS,4976 3244,Fax referral:  49763377,Central Queensland
Benarkin,4306,Kingaroy CYMHS,41629254,SBMHAODS@health.qld.gov.au,Darling Downs
Benarkin North,4314,Kingaroy CYMHS,41629254,SBMHAODS@health.qld.gov.au,Darling Downs
Benholme,4754,Mackay CYMHS,4968 3893,mackay-cymhs@health.qld.gov.au,Mackay & Whitsundays
Benoble,4275,Beenleigh/Beaudesert CYMHS,3089 4100,LCYMHS_Admin@health.qld.gov.au,Metro South
Benowa,4217,Gold Coast Central (Southport) CYMHS,56356392,Gold Coast Access Team Fax: 56356450,Gold Coast
Berat,4362,Warwick CYMHS,4660 3901,sd_cymhs@health.qld.gov.au,Darling Downs
Berrinba,4117,Logan Central CYMHS,3089 4100,LCYMHS_Admin@health.qld.gov.au,Metro South
Berserker,4701,Rockhampton CYMHS, 4920 5700,CQMHSCYMHSRockhampton@health.qld.gov.au ,Central Queensland
Bethania,4205,Logan Central CYMHS,3089 4100,LCYMHS_Admin@health.qld.gov.au,Metro South
Betoota,4482,Mount Isa CYMHS,4744 7103,mimhs@health.qld.gov.au,North West
Biarra,4313,Ipswich CYMHS,3817 2360,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Biddaddaba,4275,Beenleigh/Beaudesert CYMHS,3089 4100,LCYMHS_Admin@health.qld.gov.au,Metro South
Bidwill,4650,Maryborough (Wide Bay South) CYMHS,4122 8777,WBMHSSHerveyBay@health.qld.gov.au,Wide Bay
Bidwill,4650,Maryborough (Wide Bay South) CYMHS,4122 8777,WBMHSSHerveyBay@health.qld.gov.au,Wide Bay
Biggenden,4621,Gayndah (Wide Bay Rural) CYMHS,4192 1149,WBMHSS-RURAL@health.qld.gov.au,Wide Bay
Biggera Waters,4216,Gold Coast Central (Southport) CYMHS,56356392,Gold Coast Access Team Fax: 56356450,Gold Coast
Bigriggen Reserve,4287,Beenleigh/Beaudesert CYMHS,3089 4100,LCYMHS_Admin@health.qld.gov.au,Metro South
Bihoohra,4880,Mareeba (Tablelands CYMHS) CYMHS,4092 9171,Fax Referral:  40929170,Cairns & Hinterland
Bilinga,4225,Gold Coast Southern (Robina) CYMHS,56356392,Gold Coast Access Team Fax: 56356450,Gold Coast
Bilinga,4225,Gold Coast Southern (Robina) CYMHS,56356392,Gold Coast Access Team Fax: 56356450,Gold Coast
Biloela,4715,Banana CYMHS (Biloela),49927045,cqmhsintakebanana@health.qld.gov.au,Central Queensland
Bilyana,4854,Tully CYMHS, 4068 4111,CAMHS@health.qld.gov.au,Cairns & Hinterland
Binbee,4805,Greater Whitsundays CYMHS (Bowen),4813 9540,GWMHandATODS@health.qld.gov.au,Mackay & Whitsundays
Bingil Bay,4852,Innisfail CYMHS,40161327,CAMHS@health.qld.gov.au,Cairns & Hinterland
Binjour,4625,Gayndah (Wide Bay Rural) CYMHS,4192 1149,WBMHSS-RURAL@health.qld.gov.au,Wide Bay
Binna Burra,4211,Gold Coast Southern (Robina) CYMHS,56356392,Gold Coast Access Team Fax: 56356450,Gold Coast
Birdsville,4482,Mount Isa CYMHS,4744 7103,mimhs@health.qld.gov.au,North West
Birkalla,4854,Tully CYMHS, 4068 4111,CAMHS@health.qld.gov.au,Cairns & Hinterland
Birkdale,4159,Bayside CYMHS,3825 6005,BaysideCYMHS_intake@health.qld.gov.au,Metro South
Birnam,4285,Beenleigh/Beaudesert CYMHS,3089 4100,LCYMHS_Admin@health.qld.gov.au,Metro South
Bishop Island,4187,Bayside CYMHS,3825 6005,BaysideCYMHS_intake@health.qld.gov.au,Metro South
Black Duck Creek,4343,Ipswich CYMHS,3817 2360,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Black Jack,4820,Charters Towers,4787 0342,TSV-Kirwan-CYMHS-Intake-Officer@health.qld.gov.au,Townsville
Black River,4818,Townsville CYMHS, 4433 9004,TSV-Kirwan-CYMHS-Intake-Officer@health.qld.gov.au,Townsville
Blackrock,4850,Ingham CYMHS,4720 3035,TSV-MH-ICMH@health.qld.gov.au,Townsville
Blacks Beach,4740,Mackay CYMHS,4968 3893,mackay-cymhs@health.qld.gov.au,Mackay & Whitsundays
Blacksnake,4600,Gympie CYMHS,5489 8777,Fax referral:  54898779,Sunshine Coast
Blacksoil,4306,Ipswich CYMHS,3817 2360,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Blackstone,4304,Ipswich CYMHS,3817 2360,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Blackwater,4717,Emerald CYMHS,49839 750,Fax referral:  49839744,Central Queensland
Blanchview,4352,Ipswich CYMHS,3817 2360,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Blantyre,4310,Goodna CYMHS,3817 2555,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Blenheim,4341,Ipswich CYMHS,3817 2360,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Blue Hills,4818,Townsville CYMHS, 4433 9004,TSV-Kirwan-CYMHS-Intake-Officer@health.qld.gov.au,Townsville
Bluewater,4818,Townsville CYMHS, 4433 9004,TSV-Kirwan-CYMHS-Intake-Officer@health.qld.gov.au,Townsville
Bluewater Beach,4818,Townsville CYMHS, 4433 9004,TSV-Kirwan-CYMHS-Intake-Officer@health.qld.gov.au,Townsville
Bluewater Park,4818,Townsville CYMHS, 4433 9004,TSV-Kirwan-CYMHS-Intake-Officer@health.qld.gov.au,Townsville
Bluff,4702,Emerald CYMHS,49839 750,Fax referral:  49839744,Central Queensland
Bogandilla,4425,Chinchilla CYMHS,4662 8873,Dalby (Incl Chinchilla) Fax referral:  46690794,Darling Downs
Bogantungan,4702,Emerald CYMHS,49839 750,Fax referral:  49839744,Central Queensland
Bogie,4805,Greater Whitsundays CYMHS (Bowen),4813 9540,GWMHandATODS@health.qld.gov.au,Mackay & Whitsundays
Bohle Plains,4817,Townsville CYMHS, 4433 9004,TSV-Kirwan-CYMHS-Intake-Officer@health.qld.gov.au,Townsville
Boigu,4875,Thursday Island CYMHS, 4069 0695,TCHHS-MHATODS-TI@health.qld.gov.au,Torres & Cape
Bollon,4488,St George CYMHS,4620 2265,Referral_St_George@health.qld.gov.au,South West
Bond University,4229,Gold Coast Southern (Robina) CYMHS,56356392,Gold Coast Access Team Fax: 56356450,Gold Coast
Bondoola,4703,Rockhampton CYMHS, 4920 5700,CQMHSCYMHSRockhampton@health.qld.gov.au ,Central Queensland
Bongaree,4507,Caboolture/Redcliffe CYMHS,5316 3100,RCCYMHS_GROUPS@health.qld.gov.au ,Metro North
Bonogin,4213,Gold Coast Southern (Robina) CYMHS,56356392,Gold Coast Access Team Fax: 56356450,Gold Coast
Bonogin,4213,Gold Coast Central (Southport) CYMHS,56356392,Gold Coast Access Team Fax: 56356450,Gold Coast
Booie,4610,Kingaroy CYMHS,41629254,SBMHAODS@health.qld.gov.au,Darling Downs
Boolba,4487,St George CYMHS,4620 2265,Referral_St_George@health.qld.gov.au,South West
Boompa,4621,Maryborough (Wide Bay South) CYMHS,4122 8777,WBMHSSHerveyBay@health.qld.gov.au,Wide Bay
Boonah,4310,Goodna CYMHS,3817 2555,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Boonara,4601,Gympie CYMHS,5489 8777,Fax referral:  54898779,Sunshine Coast
Boonarga,4413,Chinchilla CYMHS,4662 8873,Dalby (Incl Chinchilla) Fax referral:  46690794,Darling Downs
Boondall,4034,Nundah CYMHS,3146 2300,CHQ-CYMHS-Nundah@health.qld.gov.au,Children's Health
Boondooma,4613,Kingaroy CYMHS,41629254,SBMHAODS@health.qld.gov.au,Darling Downs
Boonooroo,4650,Maryborough (Wide Bay South) CYMHS,4122 8777,WBMHSSHerveyBay@health.qld.gov.au,Wide Bay
Boonooroo Plains,4650,Maryborough (Wide Bay South) CYMHS,4122 8777,WBMHSSHerveyBay@health.qld.gov.au,Wide Bay
Booral,4655,Hervey Bay (Wide Bay South) CYMHS,4128 5400,WBMHSSHerveyBay@health.qld.gov.au,Wide Bay
Booroobin,4514,Caboolture/Redcliffe CYMHS,5316 3100,RCCYMHS_GROUPS@health.qld.gov.au ,Metro North
Booubyjan,4601,Gympie CYMHS,5489 8777,Fax referral:  54898779,Sunshine Coast
Booval,4304,Ipswich CYMHS,3817 2360,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Booyal,4671,Bundaberg (Wide Bay North) CYMHS,4150 2600,WBMHSS-Bundaberg@health.qld.gov.au,Wide Bay
Borallon,4306,Ipswich CYMHS,3817 2360,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Boronia Heights,4124,Browns Plains/Beaudesert CYMHS,3089 4100,LCYMHS_Admin@health.qld.gov.au,Metro South
Bororen,4678,Gladstone CYMHS,4976 3244,Fax referral:  49763377,Central Queensland
Bouldercombe,4702,Rockhampton CYMHS, 4920 5700,CQMHSCYMHSRockhampton@health.qld.gov.au ,Central Queensland
Bowen,4805,Greater Whitsundays CYMHS (Bowen),4813 9540,GWMHandATODS@health.qld.gov.au,Mackay & Whitsundays
Bowen Hills,4006,Nundah CYMHS,3146 2300,CHQ-CYMHS-Nundah@health.qld.gov.au,Children's Health
Boykambil,4212,Gold Coast Central (Southport) CYMHS,56356392,Gold Coast Access Team Fax: 56356450,Gold Coast
Boyland,4275,Beenleigh/Beaudesert CYMHS,3089 4100,LCYMHS_Admin@health.qld.gov.au,Metro South
Boyland,4275,Browns Plains/Beaudesert CYMHS,3089 4100,LCYMHS_Admin@health.qld.gov.au,Metro South
Boyne Island ,4680,Gladstone CYMHS,4976 3244,Fax referral:  49763377,Central Queensland
Boynewood,4625,Gayndah (Wide Bay Rural) CYMHS,4192 1149,WBMHSS-RURAL@health.qld.gov.au,Wide Bay
Bracalba,4512,Caboolture/Redcliffe CYMHS,5316 3100,RCCYMHS_GROUPS@health.qld.gov.au ,Metro North
